 time           y          y-diff      y+diff
    1.0113340e+08   0.00360451  -0.00296403    0.0101730
    1.0377205e+08   0.00505729  -0.00151125    0.0116258
    1.0640635e+08   0.00474828  -0.00182026    0.0113168
    1.0904340e+08   0.00522889  -0.00133964    0.0117974
    1.1167930e+08   0.00410884  -0.00245969    0.0106774
    1.1435725e+08   0.00385405  -0.00271448    0.0104226
    1.1698840e+08   0.00500069  -0.00156784    0.0115692
    1.1962310e+08   0.00503668  -0.00153186    0.0116052
    1.2225565e+08   0.00635530 -0.000213231    0.0129238
    1.2489070e+08   0.00636688 -0.000201657    0.0129354
    1.2756935e+08   0.00422578  -0.00234276    0.0107943
    1.3016230e+08   0.00166003  -0.00490851   0.00822856
    1.3275575e+08   0.00277112  -0.00379742   0.00933966
    1.3539360e+08   0.00619766 -0.000370878    0.0127662
    1.3803045e+08   0.00800759   0.00143905    0.0145761
    1.4066560e+08   0.00888821   0.00231968    0.0154567
    1.4330010e+08   0.00994973   0.00338120    0.0165183
    1.4597985e+08    0.0110958   0.00452730    0.0176644
    1.4861215e+08   0.00835675   0.00178822    0.0149253
    1.5124475e+08   0.00434793  -0.00222060    0.0109165
    1.5387870e+08  0.000645783  -0.00592275   0.00721432
    1.5651390e+08  -0.00102742  -0.00759596   0.00554111
    1.5919150e+08  -0.00230172  -0.00887026   0.00426682
    1.6174075e+08  -0.00396050   -0.0105290   0.00260803
    1.6429335e+08  -0.00313835  -0.00970689   0.00343018
    1.6692930e+08  -0.00302122  -0.00958976   0.00354731
    1.6956660e+08 -0.000334417  -0.00690295   0.00623412
    1.7220270e+08 -0.000476088  -0.00704462   0.00609245
    1.7483700e+08   0.00298481  -0.00358373   0.00955334
    1.7751550e+08   0.00444354  -0.00212500    0.0110121
    1.8014895e+08   0.00387502  -0.00269351    0.0104436
    1.8277970e+08   0.00256998  -0.00399856   0.00913852
    1.8541560e+08   0.00290309  -0.00366544   0.00947163
    1.8804910e+08   0.00481029  -0.00175825    0.0113788
    1.9072815e+08   0.00596715 -0.000601384    0.0125357
    1.9327670e+08   0.00475821  -0.00181033    0.0113267
    1.9582795e+08   0.00478062  -0.00178792    0.0113492
    1.9846790e+08   0.00288508  -0.00368346   0.00945361
    2.0110240e+08   0.00160931  -0.00495923   0.00817785
    2.0373835e+08  0.000773191  -0.00579534   0.00734173
